statefips,state,state_name,total,top_01,top_05,top_10,top_25,top_50,top_75,agi_01,agi_05,agi_10,agi_25,agi_50,agi_75,total_agi,sum_agi_01,sum_agi_05,sum_agi_10,sum_agi_25,sum_agi_50,sum_agi_75,total_sal_num,total_sal_amt,num_sal_01,sum_sal_01,num_sal_05,sum_sal_05,num_sal_10,sum_sal_10,num_sal_25,sum_sal_25,num_sal_50,sum_sal_50,num_sal_75,sum_sal_75,total_int_num,total_int_amt,num_int_01,sum_int_01,num_int_05,sum_int_05,num_int_10,sum_int_10,num_int_25,sum_int_25,num_int_50,sum_int_50,num_int_75,sum_int_75,total_div_num,total_div_amt,num_div_01,sum_div_01,num_div_05,sum_div_05,num_div_10,sum_div_10,num_div_25,sum_div_25,num_div_50,sum_div_50,num_div_75,sum_div_75,total_businc_num,total_businc_amt,num_businc_01,sum_businc_01,num_businc_05,sum_businc_05,num_businc_10,sum_businc_10,num_businc_25,sum_businc_25,num_businc_50,sum_businc_50,num_businc_75,sum_businc_75,total_cpgain_num,total_cpgain_amt,num_cpgain_01,sum_cpgain_01,num_cpgain_05,sum_cpgain_05,num_cpgain_10,sum_cpgain_10,num_cpgain_25,sum_cpgain_25,num_cpgain_50,sum_cpgain_50,num_cpgain_75,sum_cpgain_75,total_iradist_num,total_iradist_amt,num_iradist_01,sum_iradist_01,num_iradist_05,sum_iradist_05,num_iradist_10,sum_iradist_10,num_iradist_25,sum_iradist_25,num_iradist_50,sum_iradist_50,num_iradist_75,sum_iradist_75,total_pension_num,total_pension_amt,num_pension_01,sum_pension_01,num_pension_05,sum_pension_05,num_pension_10,sum_pension_10,num_pension_25,sum_pension_25,num_pension_50,sum_pension_50,num_pension_75,sum_pension_75,total_scorp_num,total_scorp_amt,num_scorp_01,sum_scorp_01,num_scorp_05,sum_scorp_05,num_scorp_10,sum_scorp_10,num_scorp_25,sum_scorp_25,num_scorp_50,sum_scorp_50,num_scorp_75,sum_scorp_75,total_tax,sum_tax_01,sum_tax_05,sum_tax_10,sum_tax_25,sum_tax_50,sum_tax_75
00,US,United States,149453748,1494537,7472687,14945375,37363437,74726874,112090311,675368.52,265089.6,180457,101863,52013,25678,14852591299,3275315002,5577757435,7185793236,10176772091,12920721330,14344433567,120163697,9605436392,1244592,1054857108,6439099,2578962503,12932240,3745878222,31980708,5948180691,63522943,8052646564,95425959,9229664052,47975518,129382903,1395794,69051740,6120110,87427580,10998366,96715867,22450328,110757920,34757631,121220529,41547168,125712676,31536121,402729142,1260796,191998344,5348474,269040809,9144063,305097270,16931387,353111060,24430698,383699620,28199735,395034467,29040387,439827836,406454,68205099,1847155,153127332,3433168,199708223,7616208,270950950,13376200,335379979,19017563,380775179,29235783,1235092994,1303208,934529136,5333920,1093607779,8905217,1147510341,15996244,1200701343,22744016,1225381018,26204277,1232513436,16265967,432304643,262074,29100864,1406255,112601922,2798717,180247248,6642267,301176529,11082504,383413202,13622813,413894816,29655782,895153143,238895,18653273,1541280,107596049,3553984,221588402,9972021,496905267,18592591,746024332,24186618,844963264,9143599,1093369283,923986,766892888,2710563,968707362,3901102,1022888570,5879319,1070011870,7534197,1090644886,8434168,1095265133,2130622496,855763981,1290558557,1522791042,1847143837,2061696011,2124866694
01,AL,Alabama,2018478,20185,100924,201848,504620,1009239,1513859,491737.32,209246,151165,88493,44700,22443,159232886,28311736,51697939,69408130,104115713,136163121,152787179,1637399,105308938,16851,8224392,86764,23189371,174964,36103172,432170,61719676,857800,86518253,1284721,100443174,555376,1009001,18406,421375,76348,582577,134626,669239,269761,816365,407535,922551,484843,969736,296825,2812781,15333,1148350,58723,1767582,95792,2047390,169893,2428667,236022,2667319,268538,2752249,409457,4359433,6881,797527,28011,1761895,49781,2187669,108096,2899090,187868,3457516,268350,3704337,275277,8967402,16264,6320944,59092,7707081,93793,8174277,161717,8661544,220934,8883652,249380,8942799,194800,4548424,4100,358549,20974,1360646,38694,2055571,84938,3244770,135117,4033462,164664,4348346,448386,12913287,4075,307658,30153,1993342,64619,3686048,163149,7445207,288698,10762599,375401,12233673,98075,12575880,13792,9765552,35729,11647934,48180,12071585,68626,12440536,84627,12582854,92051,12593675,18749527,6778809,10570277,12800570,16017390,18145378,18707309
02,AK,Alaska,322262,3223,16113,32226,80566,161131,241697,541390.74,246051.8,182544.6,112200,60720,31047,30265891,4037489,8349251,11718103,18571728,25297080,28923416,266409,19381090,2628,1079553,13537,3551085,27522,5841441,68532,10631717,136324,15528232,206935,18412441,95013,172520,2951,55440,12274,89153,21349,105677,43306,133140,69171,155713,83417,165632,73278,559130,2426,195867,9788,306645,16753,361146,32930,443323,52005,509995,63504,538041,56456,1065504,980,157835,4453,356713,8186,470023,18572,678342,32170,871366,43206,993016,59931,1523839,2548,880503,9906,1207382,16413,1318181,30553,1435748,45715,1499288,54019,1517136,28952,894077,629,62606,3486,281638,6435,423214,13833,660879,22116,822274,25969,870577,66695,2642024,824,65290,5295,413609,11153,767869,27177,1578816,47093,2306328,58241,2551918,19108,2051912,2162,1375056,6038,1806424,8312,1912062,12268,2009776,15907,2058921,17697,2061755,3856051,1016945,1780290,2261189,3043684,3625667,3826270
04,AZ,Arizona,3187208,31872,159360,318721,796802,1593604,2390406,592062.36,241309,167425,95984,49946,26261,288959564,57110032,100951417,132489146,192217501,247688394,277579925,2526173,182720376,25871,17029207,132107,43980735,264642,65644380,653885,107709890,1313216,149665318,1995627,174500817,854102,2207691,28693,953653,120186,1345716,209779,1546298,410798,1834625,616524,2038454,728154,2126162,611310,6970245,24528,2790251,103464,4262537,176570,4972911,327181,5935990,468405,6551124,538110,6778508,564813,8497381,9151,1217264,40143,2699948,74051,3549255,160472,4939041,274780,6285710,378259,7272253,592967,23831397,26660,17276477,108165,21019426,179701,22175085,322533,23218087,455500,23664220,522738,23784498,367263,10316674,5832,669982,33182,2776041,66469,4475869,156249,7372388,252386,9197963,305021,9861343,663772,19883310,5846,439331,39194,2604996,89188,5328088,240507,11585262,427741,16790974,540833,18745048,178227,20300927,20101,13954982,57462,17889670,81189,18955509,119649,19916796,149859,20298531,164562,20348986,37999769,14438918,22170979,26452927,32494418,36575682,37857795
05,AR,Arkansas,1219848,12198,60992,121985,304962,609924,914886,478035.92,200431.2,142098.6,83222,42872,22348,96331672,20729106,34542714,44689246,64377412,82734217,92526516,993819,61287109,10480,5421066,52760,14433986,105055,21655506,259137,35974302,518400,50233399,781198,58479371,322239,643877,11024,312892,45917,406366,79726,455361,156514,533654,234178,592186,277864,618631,184183,4663940,9141,3759925,36428,4082506,59304,4236833,104500,4440019,144753,4575084,165035,4624966,231283,2557465,3794,296028,16040,718657,28795,948719,63467,1372301,109991,1793420,152572,2098351,176386,6947143,9674,5170581,36681,6033765,58626,6360585,101033,6706642,138438,6872306,157813,6923401,118064,2647820,2142,170634,11360,688812,22492,1124047,51482,1851835,81454,2320987,99155,2518900,245830,6401182,2035,132507,14312,859994,33159,1741763,89113,3717015,158507,5364636,202701,6030587,70099,6308261,7750,4239493,22765,5531708,32140,5859958,47417,6170963,59277,6302142,65033,6318430,11402381,4814153,7025751,8244228,9934207,11048856,11374911
06,CA,California,17504498,175045,875225,1750450,4376125,8752249,13128374,835930.08,325984,212865,112411,55663,27294,2006334420,454425388,791006587,1017912174,1417435356,1766274619,1943444539,14189213,1340971332,147091,171485173,763609,405324074,1527234,573248401,3753869,872672504,7473582,1146873241,11277692,1295473005,6682297,16913829,166401,8378920,771891,11062099,1457316,12474960,3182668,14488835,5000927,15864131,5899485,16445296,3766450,52916137,149591,24905199,669296,35056506,1162186,40146118,2138297,46687344,2997807,50581405,3401850,51975880,3468678,60968522,40898,8113343,193974,18291228,376636,24768343,867231,34703102,1546576,43817490,2214864,51425015,3702051,174734624,154965,132356826,675263,156717190,1152240,164506313,2077449,171158062,2907771,173805401,3328987,174513896,1505339,45507074,26328,3174543,134956,11571006,277449,19302353,668440,32865734,1082491,41222069,1292218,43900428,2777156,104010272,23564,2018587,141396,11245315,339540,25302034,1002411,61247002,1851636,90428282,2334343,99737053,1110712,134723661,98795,87342437,308211,116317079,461808,124921588,713304,131860843,913440,134514563,1023489,135078696,317210728,122452981,193407116,230014233,279009415,308149038,316354384
08,CO,Colorado,2768462,27685,138423,276846,692116,1384231,2076347,713681.76,294209.9,202022,114565,59804,30741,298699493,57371473,103623458,136893193,199110988,256793591,287584394,2253447,193644169,22440,17081034,118920,46179323,240741,70180832,597744,116141384,1182841,160092195,1781040,185439805,941741,2713654,26041,1450357,114872,1828883,207345,2019139,425851,2312995,670232,2540453,808978,2634364,701461,7901743,23423,3028426,102640,4613362,182802,5442010,354817,6598234,531322,7393004,622059,7694699,536825,9484701,7806,1025596,35686,2458435,67341,3434217,152807,5183060,267936,6964953,367964,8239774,655423,27794346,24678,19663361,105102,24011851,181851,25454623,340465,26837930,499492,27505290,582196,27710306,315791,8954656,4912,496818,25989,2028200,51599,3366845,124572,5978826,214072,7872447,263390,8540628,491414,15866774,4329,284746,25829,1608076,58001,3375817,163625,8242385,310872,13135254,402387,14980148,229592,21315070,18983,11652375,60045,16968876,90606,18747673,143709,20448263,188661,21183281,211079,21354110,43159670,14894687,23785732,28816278,36130895,41200130,42937762
09,CT,Connecticut,1691699,16917,84585,169170,422925,845850,1268774,975899.22,334469.05,218757,120524,61356,29841,217936949,57976844,92921888,115377847,155924771,192552620,211392279,1346575,137495963,14059,22430910,72835,45729511,146542,61800189,361724,91068781,709475,117791157,1067182,132876119,597111,2780982,16327,1881168,72715,2196977,131201,2332630,270862,2530232,433025,2682101,520461,2739964,464454,8824017,15633,4915177,68665,6403520,121144,7069516,234181,7923452,354422,8496960,414655,8702051,311351,8235660,4621,1328166,23311,3173190,43294,4214534,94123,5643163,158486,6763951,215205,7504145,405789,21047609,15702,16597961,66647,18859865,114412,19716875,212242,20536644,313003,20912934,364225,21017401,228533,6458904,2852,350291,16715,1500088,34807,2502041,86251,4336399,153004,5710886,189796,6181587,367050,11752291,2492,200953,16406,1134949,39446,2479047,117056,6137357,230122,9834081,298716,11121990,98826,13323671,10887,8587128,32210,11687506,45569,12468650,66113,13052257,83173,13273560,91891,13330634,37136414,16284881,23919360,27541298,32590346,35986085,37024232
10,DE,Delaware,472630,4726,23632,47263,118158,236315,354473,534188.6,240778,174985,104319,54231,27437.5,42345482,6437000,12636517,17424898,26892032,35889813,40611607,369998,27028371,3886,2186932,19881,6151536,39660,9439993,96507,15769779,190684,22047086,289571,25789053,145748,253249,4294,75663,18354,119701,32761,144135,67581,190627,106213,226858,127032,241787,107806,1066242,3885,415735,16417,625463,28430,729233,55419,890784,82877,1001394,96419,1040743,75421,1098911,1202,154128,5241,364993,9503,477861,21003,669416,36812,842317,50877,957395,93120,2174255,3990,1425612,15831,1793534,26483,1926005,49437,2075415,72242,2151703,83619,2169288,67774,1860730,1065,117212,5877,468821,11544,749388,27904,1282779,47389,1662233,57984,1791191,125216,4008784,1087,88439,7278,510423,15981,1008253,43448,2232061,80767,3363712,103491,3788498,23759,2446653,2699,1715248,7107,2141817,9916,2255142,14948,2370677,19469,2431746,21786,2448455,5423206,1647326,2737447,3409068,4439715,5177056,5398708
11,DC,District of Columbia,335515,3355,16776,33552,83879,167758,251636,991690.1,380945.75,252496.5,128252.75,67052,32458,47078998,12311964,19799205,24942535,33787053,41574118,45688857,287465,30636873,2548,3043476,14265,8062383,29138,12016829,73907,19178735,149292,25878050,224320,29483279,112594,370832,3248,224304,14741,275506,27299,301749,57322,338425,88247,358551,103372,366167,97337,1559337,3085,744692,14027,1063263,25995,1228738,53004,1425273,79790,1514501,91294,1543900,66768,1846481,970,678915,4518,1026698,8540,1239922,18398,1523505,31285,1667601,44495,1744490,83904,4945717,3083,4084332,13437,4537185,24219,4706934,47450,4862824,69147,4922482,78698,4937501,22429,838296,611,76971,3126,301570,6119,465710,12374,679614,17648,787910,20247,821592,43844,2014258,599,60509,3138,308696,6355,571863,15070,1127595,26500,1644360,36026,1916601,16439,3713010,2422,2735886,6388,3511094,8752,3632138,12269,3708134,14509,3713549,15616,3718525,8632947,3383673,5102472,6033984,7397598,8337804,8605875
