TC,xaged,income_type,mean,cum_sum_low,cum_sum_high
1,45-54,othr,420.27386,0,420.27386
1,45-54,earned,2681.1426,420.27393,3101.4165
1,45-54,capital,864.1181,3101.4165,3965.5347
1,45-54,pension,639.79077,3965.5344,4605.3252
1,45-54,socsec,689.78467,4605.3252,5295.1099
1,45-54,transfer,3149.0667,5295.1104,8444.1768
1,55-64,othr,1867.7397,0,1867.7397
1,55-64,earned,5673.3613,1867.7397,7541.1011
1,55-64,capital,1601.6331,7541.1016,9142.7344
1,55-64,pension,1952.6747,9142.7344,11095.409
1,55-64,socsec,1814.7362,11095.408,12910.145
1,55-64,transfer,3511.8,12910.146,16421.945
1,65-74,othr,1580.8286,0,1580.8286
1,65-74,earned,3112.8816,1580.8284,4693.71
1,65-74,capital,2185.0764,4693.71,6878.7866
1,65-74,pension,5179.2739,6878.7866,12058.061
1,65-74,socsec,13146.761,12058.06,25204.82
1,65-74,transfer,1397.1199,25204.822,26601.941
1,75-84,othr,7.8627949,0,7.8627949
1,75-84,earned,525.3183,7.862793,533.18109
1,75-84,capital,615.43604,533.18115,1148.6172
1,75-84,pension,4803.0327,1148.6172,5951.6499
1,75-84,socsec,17778.9,5951.6504,23730.551
1,75-84,transfer,324.73883,23730.551,24055.289
3,45-54,othr,8609.752,0,8609.752
3,45-54,earned,67567.477,8609.75,76177.227
3,45-54,capital,31521.088,76177.227,107698.31
3,45-54,pension,2942.9639,107698.32,110641.28
3,45-54,socsec,241.33656,110641.28,110882.62
3,45-54,transfer,614.8092,110882.62,111497.43
3,55-64,othr,11147.068,0,11147.068
3,55-64,earned,57383.922,11147.07,68530.992
3,55-64,capital,15660.839,68530.992,84191.828
3,55-64,pension,9601.1416,84191.828,93792.969
3,55-64,socsec,1118.2184,93792.969,94911.188
3,55-64,transfer,1046.8446,94911.188,95958.031
3,65-74,othr,8698.5195,0,8698.5195
3,65-74,earned,58837.813,8698.5156,67536.328
3,65-74,capital,20093.574,67536.328,87629.906
3,65-74,pension,31259.879,87629.906,118889.78
3,65-74,socsec,22758.912,118889.79,141648.7
3,65-74,transfer,526.49127,141648.7,142175.19
3,75-84,othr,5230.0967,0,5230.0967
3,75-84,earned,10336.847,5230.0967,15566.943
3,75-84,capital,7258.7798,15566.943,22825.723
3,75-84,pension,44411.832,22825.723,67237.555
3,75-84,socsec,38027.813,67237.555,105265.37
3,75-84,transfer,205.86914,105265.37,105471.23
