"","share_total_nw","pctl_label","inc"
"1",0.0215064366359023,"Top 1%","pension and IRAs"
"2",0.0307166819890168,"Top 1%","business income"
"3",0.0310979731642684,"Top 1%","interest"
"4",0.0639627305628161,"Top 1%","other"
"5",0.0864679057949297,"Top 1%","dividends"
"6",0.345376010088845,"Top 1%","S-corp income"
"7",0.420872261764221,"Top 1%","capital gains"
"8",0.0246577250516077,"All","interest"
"9",0.0767519063450436,"All","dividends"
"10",0.0838221557768849,"All","business income"
"11",0.118024905682473,"All","other"
"12",0.208373738221714,"All","S-corp income"
"13",0.235383367918549,"All","capital gains"
"14",0.252986201003728,"All","pension and IRAs"
