py0_htot,year,pos_wsi
bottom quartile,2000,.039818335
bottom quartile,2002,.03184301
bottom quartile,2004,.044988882
bottom quartile,2006,.047730863
bottom quartile,2008,.060571086
bottom quartile,2010,.055707958
bottom quartile,2012,.062766075
bottom quartile,2014,.06941051
bottom quartile,2016,.050175723
bottom quartile,2018,.083107226
bottom quartile,2020,.079555266
bottom quartile,2022,.089453578
top quartile,2000,.42703143
top quartile,2002,.45273173
top quartile,2004,.50729901
top quartile,2006,.52126092
top quartile,2008,.51376063
top quartile,2010,.55377716
top quartile,2012,.58179009
top quartile,2014,.621589
top quartile,2016,.63868868
top quartile,2018,.59341341
top quartile,2020,.63189709
top quartile,2022,.57722789
